ncols,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrows,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xllcorner,230814.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yllcorner,9616990.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cellsize,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODATA_value,-99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.94,30.11,17.16,17.2,8.59,17.33,21.98,8.27,8.25,4.53,3.59,4.45,2.48,16.25,3.65,5.54,6.79,2.7,5.68,2.51,0.97,4.54,12.86,17.18,2.23,15.41,11.87,16.67,19.98,14.65,9.32,13.26,15.55,14.57,25.45,7.14,22.04,42.66,55.28,25.01,35.4,44.45,49.27,52.86,12.07,10.35,35.3,45.4,13,28.53,7.05,25.76,21.54,11.76,10.33,16.15,9.62,11.54,16.47,19.54,23.16,18.07,17.14,17.96,19.43,27.81,26.7,31.08,31.74,39.49,52.44,61.21,55.93,46.71,49.52
28.14,20.35,34.6,39.43,35.68,1.54,23.63,28.84,26.93,10.95,9.62,8.64,6.24,19.27,25.76,22.81,13.31,9.28,3.99,2.39,6.58,6.49,10.06,19.84,11.29,1.88,13.66,15.2,18.12,19.56,16.29,20.4,25.93,27.66,16.62,8.59,24.11,16,17.4,50.85,28.98,39.91,70.74,4.56,5.03,7.05,4.62,1.22,11.78,9.97,24.21,4.37,24.16,19.35,16.06,14.65,20.79,45.85,26.26,17.99,13.18,13.95,17.4,24.3,22.75,24.38,22.68,28.07,38.16,60.07,50.65,45.68,44.25,46.48,44.55
26.4,26.51,12.78,10.21,30.94,23.93,22.68,0.79,27.05,15.22,8.38,3.87,2.18,5.16,6.52,15.13,26.65,2.23,10.22,9.09,8.98,4.54,13.43,15.56,19.06,20.28,16.46,16.45,12.44,19.08,25.39,23.89,14.14,21.81,13.78,17.04,18.03,25.45,21.88,18.54,45.66,45.71,60.38,9.51,4.47,1.16,1.72,4.46,17.57,7.84,8.63,18.73,25.14,25.36,22.6,14.74,12.46,24.99,13.76,18.77,15.6,14.69,18.59,19.88,19.69,29.24,27.91,34.32,52.83,49.77,45.06,40.91,42.92,47.52,50.25
29.49,30.94,29.55,19.42,21.6,11.09,11.63,26.53,27.59,21.46,15.39,2.84,2.35,2.18,3.52,1.02,9.09,17.97,10.9,18.99,7.65,8.03,12.24,14.37,8.8,21.46,5.59,20.85,16.33,21.77,23.97,31.54,31.42,10.79,13.8,36.26,28.5,25.31,33.1,23.32,32.8,37.86,9.75,12.75,10.16,20.11,16.86,15.62,8.03,3.34,8.43,9.43,5.21,21.05,12.67,6.03,8.3,23.17,36.38,14.27,13.18,17.82,18.52,21.37,20.52,22.43,28.8,33.25,56.09,48.98,42.06,44.09,52.54,51.99,46.47
49.38,41.13,19.9,23.14,28.64,31.56,18.83,12.15,8.07,9.44,8.96,3.45,3.44,1.81,4.1,3.77,0.28,15.26,14.91,20.21,12.68,15.11,12.39,9.84,16.67,19.01,26.48,12.39,13.2,14.53,27.45,16.25,57.83,27.68,11.47,15.95,8.77,21.97,13.68,25.5,30.58,38.74,11.53,22.17,21.28,18.83,27.97,9.64,8.06,4.06,10.36,6.52,5.84,28.98,3.51,8.49,8.88,21.41,36.63,25.15,18.31,19.59,22.6,22.31,25.87,26.98,38.21,56.28,48.77,38.57,42.7,49.48,53.87,54.03,58.18
32.48,52.16,32.17,25.92,32.9,26.54,27.87,31.24,25.04,9.01,6.88,4.29,3.79,3.26,0.69,8.65,5.56,9.94,13.8,17.85,9.75,21.38,15.29,22.52,36.03,33.54,14.74,17.27,8.04,18.21,15.75,24.47,49.03,13.59,10.76,4.93,7.3,20.68,10.98,17.81,26.38,42.58,26.7,9.4,29.73,34.89,19.55,4.81,6.72,4.96,12.03,17.71,17.85,8.34,10.33,10.98,9,8.95,14.1,28.56,25.06,16.75,20.31,24.3,24.87,29.44,44.61,60.32,45.65,42.1,43.24,46.85,56.21,50.4,60.27
22.36,24.26,24.25,37.28,39.96,24.7,12.26,14.65,18.13,16.75,6.69,5.14,3.6,4.23,3.67,3.2,5.8,3.75,19.04,14.57,18.42,13.77,39.02,8.22,4.28,19.08,26.71,12.6,13.53,12.75,6.69,35.73,42.42,27.91,20.45,27.21,19.04,8.23,17.97,19.91,21.25,33.85,34.87,23.82,8.82,28.26,12.92,10.93,13.95,0.96,9.57,25.04,28.48,23.84,11.65,14.13,41.7,41.81,39.68,47.47,16.38,9.75,20.07,24.97,24.24,32.82,55.78,46.41,39.54,36.45,43.99,51.4,52.45,44.98,53.58
45.75,33.02,13.78,27.73,27.74,42.01,27.38,19.88,14.47,10.7,6.19,18.59,12.87,8.91,6.51,2.89,2.33,5.83,15.15,19.93,18.92,30.21,7.75,12.11,27.44,5.47,7.07,4.27,6.49,3.81,6.2,15.32,36.1,32.07,20.14,12.03,27.76,40.96,47.57,35.42,15.22,4.21,21.31,20.41,22.45,38.48,42.45,31.08,13.6,3.65,7.35,37.2,28.79,21.93,18.41,24.48,40.03,23.5,17.18,22.76,8.46,15.68,15.12,24.73,30.95,29.58,53.01,46.15,34.53,39.17,53.41,52.06,51.32,53.09,56.9
26.33,33.41,28.94,10.36,22.27,22.05,42.22,20.17,12.71,11.73,8.04,4.65,21.77,7.55,1.04,2.55,6.7,6.41,10.56,13.39,18.51,12.63,6.2,23.18,7.38,13,5.31,5.16,7.18,3.93,9.23,9.06,34.35,14.52,4.54,15.5,61.54,58.57,14.92,14.82,1.35,18.16,21.21,26.46,34.24,38.5,58.68,22.79,31.52,5.85,1.34,21.95,18.48,17.27,39.39,30.89,21.91,25.82,29.95,31.9,36.32,17.5,21,27.21,31.19,38.91,52.47,43.6,38.91,39.04,50.19,50.15,50.65,54.68,52.74
37.11,40.9,20.09,31.38,26.9,20.58,27.63,12.59,12.65,15.62,6.82,9.16,23.69,0.39,4.83,5.09,4.21,11.28,5.9,6.88,4.09,11.78,22.19,3.79,6.22,4.65,8.89,19.57,28.46,23.68,29.63,37.29,31.19,16.57,17.82,30.18,41.4,21.83,32.89,20.26,26.45,37.27,30.99,34.02,34.73,13.64,25.61,12.86,30.37,10.7,15.16,1.22,9.34,21.22,21.6,26.91,39.97,41.4,47.99,19.23,14.88,28.53,31.77,40.98,46.64,31.6,58.44,44.18,35.69,38.68,46.76,53.67,54.87,51.52,58.24
20.2,19.08,13.63,38.29,33.31,35.78,22.48,36.82,20.43,11.85,16.5,12.96,13.73,2.33,5.13,7.11,8.87,8.43,2.68,3.4,5.16,13.51,9.6,16.5,6.14,8.52,16.45,30.74,25.86,23.15,28.26,21.56,16.77,15.55,17.97,45.76,36.34,53.19,61.07,52.36,25.61,36.33,24.76,41.79,34.68,40.74,59.96,34.66,30.16,11.06,8.02,4.1,12.92,19.56,31.71,32.65,13.13,17.7,22.05,29.51,23.01,22.31,34.83,32.58,27.92,36.37,58.33,48.26,33.52,39.53,47.02,49.16,54.54,55.52,52.9
10.97,13.89,21.7,34.47,29.85,28.95,17.48,6.2,18.55,32.5,9.22,21.09,7.21,6.15,3.08,7.65,8.28,2.87,3.84,5.68,7.63,15.56,13.81,8.81,9.75,28.84,14.2,19.61,24.34,12.84,13.2,16.72,12.92,10.01,15.07,27.63,38.77,23.91,40.91,38.15,14.49,27.33,26.07,26.37,24.72,35.73,57.96,90.02,56.85,23.94,23.82,1.28,6.6,6.47,6.78,27.9,37.46,30.49,23.55,25.23,27.03,27.1,31.8,33.29,42.92,44.24,45.33,53.81,41.47,41.12,50.47,54.81,60.28,58.75,65.66
11.59,14.78,19.9,20.91,19,29.25,10.15,16.07,10.04,25.61,29.64,16.45,16.25,7.56,4.51,13,1.71,3.13,10.04,2.7,6.3,20.58,26.99,9.27,14.32,14.51,17.18,22.51,15.69,7.97,8.35,13.09,10.58,11.47,10.64,15.87,20.81,22.16,13.73,21.62,19.08,26.43,47.24,41.38,35.19,28.13,48.33,55.63,82.01,43.67,3.34,8.48,15.17,21.46,19.17,23.43,21.03,29.79,28.15,26.18,20.84,21.88,24.48,33.59,41.1,36.34,47.31,53.91,46.73,44.17,56.64,63.78,58.14,64.7,64.77
