"","date","1","2","3"
"83",2002-03-24,3.89213943323174,3.89213943323174,4.16070380629438
"84",2002-03-25,3.88407387710715,3.88407387710715,4.08044828112811
"85",2002-03-26,3.9765042031805,3.9765042031805,4.27660048950476
"86",2002-03-27,3.54717561503954,3.54717561503954,3.76926991343798
"87",2002-03-28,3.68525948319167,3.68525948319167,3.89947012936728
"88",2002-03-29,3.43455718084038,3.43455718084038,3.7187420603206
"89",2002-03-30,3.61156604114676,3.61156604114676,3.91321863830971
"90",2002-03-31,4.17878093254218,4.17878093254218,4.43112120428977
"91",2002-04-01,4.0632597801631,4.0632597801631,4.25805103765367
"92",2002-04-02,3.53056287267033,3.53056287267033,3.74959521073039
"93",2002-04-03,3.69051730746287,3.69051730746287,3.80605961520295
